MGYA00242637	ERZ504482
MGYA00242473	ERZ504483
MGYA00242474	ERZ504485
MGYA00242639	ERZ504486
MGYA00242662	ERZ504490
MGYA00242477	ERZ504491
MGYA00242663	ERZ504492
MGYA00242478	ERZ504493
MGYA00242664	ERZ504494
MGYA00242479	ERZ504495
MGYA00242665	ERZ504496
MGYA00242666	ERZ504498
MGYA00242667	ERZ504500
MGYA00242482	ERZ504501
MGYA00242668	ERZ504502
MGYA00242483	ERZ504503
MGYA00242669	ERZ504504
MGYA00242484	ERZ504505
MGYA00242670	ERZ504506
MGYA00242485	ERZ504507
MGYA00242486	ERZ504509
MGYA00242672	ERZ504510
MGYA00242487	ERZ504511
MGYA00242673	ERZ504512
MGYA00242488	ERZ504513
MGYA00242674	ERZ504514
MGYA00242489	ERZ504515
MGYA00242675	ERZ504516
MGYA00242490	ERZ504517
MGYA00242676	ERZ504518
MGYA00242491	ERZ504519
MGYA00242677	ERZ504520
MGYA00242678	ERZ504522
MGYA00242733	ERZ504523
MGYA00242734	ERZ504525
MGYA00242680	ERZ504526
MGYA00242735	ERZ504527
MGYA00242681	ERZ504528
MGYA00242736	ERZ504529
MGYA00242682	ERZ504530
MGYA00242737	ERZ504531
MGYA00242695	ERZ504532
MGYA00242738	ERZ504533
MGYA00242696	ERZ504534
MGYA00242740	ERZ504537
MGYA00242741	ERZ504539
MGYA00242699	ERZ504540
MGYA00242700	ERZ504542
MGYA00242742	ERZ504543
MGYA00242701	ERZ504544
MGYA00242743	ERZ504545
MGYA00242702	ERZ504546
